;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genre;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;genres;platforms;synopsis;theme
59;Suzuka;https://myanimelist.net/anime/390/Suzuka;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;涼風;TV;26;Finished Airing;Jul 7, 2005 to Dec 29, 2005;Summer 2005;Thursdays at 01:00 (JST);['Marvelous', 'Starchild Records', 'Studio Jack'];Funimation;Studio Comet;Manga;;;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;7.18;#3207;#1737;112,429;640;['Drama', 'Romance', 'Sports'];['Crunchyroll', 'Funimation'];Teenager Yamato Akitsuki has moved from the Hiroshima countryside to Tokyo to begin his high school career. In return for room and board, he has agreed to help his aunt and cousin run their bathhouse and the adjacent girls-only dormitory where he will be staying. On his way to meet his relatives, he passes by a local high school track and is mesmerized by a high jumper practicing her technique.  Later on, Yamato finds out that the high jumper is not just another resident of the dorm, but is also his neighbor. Suzuka Asahina is a heavily scouted track and field athlete who is attending the same high school he is enrolled in. A perfectionist by nature, Suzuka is put off by Yamato's clumsy and carefree attitude and finds it difficult to be near him.  Determined to win her over, Yamato joins the track team after discovering his hidden talent for sprinting. Through his interactions with the track team, his classmates, and the ever-inebriated college students in the dorm, Yamato finds the resolve to become a better athlete and a more suitable companion to Suzuka, even if it means pushing himself to the point of exhaustion.  [Written by MAL Rewrite];
60;Bakuten Shoot Beyblade;https://myanimelist.net/anime/288/Bakuten_Shoot_Beyblade;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;爆転シュート　ベイブレード;TV;51;Finished Airing;Jan 8, 2001 to Dec 24, 2001;Winter 2001;Mondays at 18:00 (JST);['TV Tokyo', 'Yomiko Advertising', 'd-rights'];Nelvana, Discotek Media;Madhouse;Manga;;;Kids;23 min. per ep.;PG - Children;6.75;#5228;#1799;107,310;375;['Action', 'Adventure', 'Comedy', 'Sports'];['Crunchyroll', 'Netflix'];Thirteen-year-old Tyson Granger (Takao Kinomiya), along with his fellow teammates, Kai Hiwatari, Max Tate (Max Mizuhura), and Ray Kon (Rei Kon), strive to become the greatest Beybladers in the world. With the technical help of the team's resident genius, Kenny (Kyouju), and with the powerful strength of their BitBeasts, the Bladebreakers armed with their tops (AKA: Blades) attempt to reach their goal.  (Source: ANN);
61;All Out!!;https://myanimelist.net/anime/31588/All_Out;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;オールアウト!!;TV;25;Finished Airing;Oct 7, 2016 to Mar 31, 2017;Fall 2016;Fridays at 00:00 (JST);['Telecom Animation Film', 'Mainichi Broadcasting System', 'Kodansha', 'Asmik Ace', 'Sony Music Entertainment', 'TMS Music'];Funimation, Crunchyroll;Madhouse, TMS Entertainment;Manga;Sports;['School', 'Team Sports'];Seinen;24 min. per ep.;PG-13 - Teens 13 or older;7.05;#3822;#1805;106,367;355;;['Crunchyroll', 'Funimation', ''];Rugby is a sport where anybody can be a star when they hold the ball. The rules are simple: one player has to carry the ball past the goalposts across the field while avoiding the other team, who are allowed to use all their force to knock the enemy down. However, the player can pass to a teammate behind them or kick the ball before they are tackled. Unlike other sports, the game continues even when the person holding the ball is taken down.  Kenji Gion is a short but feisty high school freshman at Kanagawa High School. Right after the school's opening ceremony, he meets the tall and timid Sumiaki Iwashimizu, and the two of them get an invitation to observe the rugby club.  When Gion watches the match, he realizes that even though big and tall guys have an advantage, there are positions for people of all shapes and sizes. Immediately convinced that he has found a sport he can excel at despite his short stature, he signs up, though Iwashimizu declines. Gion is unable to accept Iwashimizu's excuses and drags him back into the sport. Their training becomes intense as they aim to become the champions of Hanazono, the national high school rugby championships.  [Written by MAL Rewrite];
62;2.43: Seiin Koukou Danshi Volley-bu;https://myanimelist.net/anime/40679/243__Seiin_Koukou_Danshi_Volley-bu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;2.43 清陰高校男子バレー部;TV;12;Finished Airing;Jan 8, 2021 to Mar 26, 2021;Winter 2021;Fridays at 00:55 (JST);['Aniplex', 'Dentsu', 'Animax', 'Movic', 'Fuji TV', 'Fujipacific Music', 'Shueisha', 'Fuji Creative', 'Tohan Corporation', 'Japan Volleyball Association'];Funimation;David Production;Novel;;['School', 'Team Sports'];;23 min. per ep.;PG-13 - Teens 13 or older;6.15;#8625;#1808;106,236;349;['Drama', 'Sports'];['Crunchyroll', 'Funimation', '', '', '', ''];Genius setter Kimichika Haijima moves back to Fukui from Tokyo after an incident within his school's volleyball team forces him out. There, he is reunited with his childhood friend, Yuni Kuroba, a member of the Monshiro Middle School Boys' Volleyball Team, who is unaware of his own talents. Haijima notices Kuroba's abilities and is determined to form a new volleyball team with Kuroba as the team's ace. At the prefectural tournament, Kuroba crumbles under the pressure, which causes the Monshiro team to fall apart after losing. The loss also creates a rift between Haijima and Kuroba, leading the former to quit the team.  Now, as students at Seiin High School, Haijima and Kuroba find themselves on the same volleyball team once again. Having learned from his past mistakes, Haijima helps Kuroba overcome his performance anxiety to become the ace and carry the team to the prefectural championship. With support from team captain Shinichirou Oda and vice captain Misao Aoki, Seiin aim to win the prefecturals and become Fukui's representatives at the Spring Tournament. To do this, they will need to beat Fukuho Technical High School, the reigning champions of Fukui. Will Haijima's team defeat the odds, or are they doomed to repeat his history of losing?  [Written by MAL Rewrite];
63;Harukana Receive;https://myanimelist.net/anime/35983/Harukana_Receive;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;はるかなレシーブ;TV;12;Finished Airing;Jul 6, 2018 to Sep 21, 2018;Summer 2018;Fridays at 21:00 (JST);['AT-X', 'Houbunsha', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa'];Funimation;C2C;Manga;Sports;;;23 min. per ep.;PG-13 - Teens 13 or older;6.65;#5810;#1818;105,151;166;;['Crunchyroll', 'Funimation'];In beach volleyball, there is no room for aces. To achieve victory, each player must find their one, irreplaceable partner that they can rely on in the court of sand. At least, that is what Haruka Oozora learns on her first day in Okinawa after moving in with her grandmother and her cousin Kanata Higa. While touring a nearby beach, Haruka stumbles upon some girls practicing beach volleyball and is quickly invited to join. This friendly practice game suddenly turns into a match when one of the girls, Narumi Tooi, notices Kanata approaching the court.  Although the two suffer a devastating defeat, Haruka finally realizes the reason for her cousin’s quiet and distant behavior. Kanata and Narumi used to be an exceptionally talented beach volleyball duo, until Kanata quit due to her short height causing problems for Narumi. Now, with the Junior Tournament just weeks away, Haruka must learn the intricacies of competitive beach volleyball and help Kanata overcome her crippling anxiety towards the sport that she once used to love.  [Written by MAL Rewrite];Team Sports
64;Kuroko no Basket: Tip Off;https://myanimelist.net/anime/16916/Kuroko_no_Basket__Tip_Off;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Kuroko no Basket Special, Kuroko no Basket Episode 22.5;黒子のバスケ 第22.5Q 「Tip off」;Special;1;Finished Airing;Feb 22, 2013;;;['Bandai Visual', 'Lantis'];None found, add some;Production I.G;Manga;Sports;['School', 'Team Sports'];Shounen;25 min.;PG-13 - Teens 13 or older;7.81;#896;#1875;99,776;83;;[];"Episode 22.5 bundled with BD/DVD volume 8.  The episode covers Kuroko's past, when he was part of the ""Generation of Miracles.""";
65;Hajime no Ippo: Mashiba vs. Kimura;https://myanimelist.net/anime/265/Hajime_no_Ippo__Mashiba_vs_Kimura;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Fighting Spirit: Mashiba vs. Kimura;はじめの一歩 間柴vs木村 死刑執行;OVA;1;Finished Airing;Sep 5, 2003;;;['None found', 'add some'];Discotek Media;Madhouse;Manga;Sports;;Shounen;1 hr. 1 min.;PG-13 - Teens 13 or older;8.23;#311;#1882;99,659;166;;[];"Tatsuya Kimura is beginning to feel left behind. With his friends Ippo Makunouchi and Mamoru Takamura holding the championship belt in their respective weight classes, Kimura's inability to become Japan's Junior Lightweight boxing champion eats away at him. Scheduled to fight with the current champion Ryo Mashiba, Kimura begins to train with Ippo's rival Ichirou Miyata, who previously suffered a crushing defeat from Mashiba's signature ""Hitman"" style of boxing.  But Mashiba has his own desire to hold onto the belt, hoping to soon shoot for the World title and secure financial stability for his sister Kumi. Will Kimura's overwhelming drive to prove his strength as a boxer overcome Mashiba's desperate wish to provide a better life for Kumi?  [Written by MAL Rewrite]";Combat Sports
66;Kuroko no Basket: Saikou no Present desu;https://myanimelist.net/anime/31051/Kuroko_no_Basket__Saikou_no_Present_desu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Kuroko no Basket Episode 75.5;黒子のバスケ〜最高のプレゼントです〜;Special;1;Finished Airing;Dec 24, 2015;;;['Bandai Visual', 'Nihon Ad Systems'];None found, add some;Production I.G;Manga;Sports;['School', 'Team Sports'];Shounen;23 min.;PG-13 - Teens 13 or older;8.10;#451;#1887;99,250;197;;[];It is Tetsuya Kuroko's birthday. In celebration, Satsuki Momoi has invited the other members of the Generation of Miracles to play basketball together and rekindle the memories from their nostalgic middle school days. Meanwhile, Taiga Kagami and his fellow teammates of Seirin High are doing their best to prepare for Kuroko's birthday party.  Sometimes, the best gift one can receive is not a material one but, rather, the feeling of having fun with everyone!  [Written by MAL Rewrite];
67;Ookiku Furikabutte;https://myanimelist.net/anime/2159/Ookiku_Furikabutte;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Oofuri, Ohkiku Furikabutte, Swing Big!;おおきく振りかぶって;TV;25;Finished Airing;Apr 13, 2007 to Sep 28, 2007;Spring 2007;Unknown;['Aniplex', 'Mainichi Broadcasting System', 'TBS', 'Kodansha', 'Movic', 'Rakuonsha'];Funimation;A-1 Pictures;Manga;Sports;;Seinen;25 min. per ep.;PG-13 - Teens 13 or older;7.89;#753;#1919;97,125;1,697;;['Crunchyroll', 'Funimation'];"Ren Mihashi was the ace of his middle school's baseball team, but due to his poor pitching, they could never win. Constant losses eventually lead to his teammates bullying him and reached the point where his teammates no longer tried to win, causing Mihashi to graduate with little self-esteem. As a result, Mihashi decides to go to a high school in a different prefecture where he has no intention of playing baseball. Unfortunately, upon his arrival at Nishiura High, he is dragged into joining their new team as the starting pitcher.  Although unwilling at first, Mihashi realizes that this is a place where he will be accepted for who he is; with help from the catcher Takaya Abe, he starts to have more confidence in his own abilities. Abe, seeing the potential in Mihashi, makes it a goal to help him become a pitcher worthy of being called an ace.  [Written by MAL Rewrite]";Team Sports
68;Major S1;https://myanimelist.net/anime/627/Major_S1;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;メジャー （第1シリーズ）;TV;26;Finished Airing;Nov 13, 2004 to May 21, 2005;Fall 2004;Saturdays at 18:00 (JST);['Shogakukan-Shueisha Productions', 'NHK'];None found, add some;Studio Hibari;Manga;Sports;;Shounen;25 min. per ep.;PG-13 - Teens 13 or older;8.22;#323;#1924;96,892;1,360;;[];Gorou Honda, a little boy obsessed with baseball, has always admired his father, Shigeharu. Wishing to follow in his father's footsteps, Gorou dreams of becoming a professional baseball player. In turn, his son's starry-eyed admiration encourages Shigeharu to keep persevering, despite his late wife's death and his unsatisfying position on the second-string team Blue Ocean.  Unfortunately, an elbow injury forces Shigeharu off the team, and he falls into despair. However, after an offhand joke from his childhood friend, Shigeharu reevaluates his choices and decides to keep playing, leaving behind his prime position as pitcher and taking up the bat. Now motivated more than ever, Gorou works hard to carve his way in the Japanese Little League.  [Written by MAL Rewrite];Team Sports
69;Bakuten!!;https://myanimelist.net/anime/43756/Bakuten;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;バクテン!!;TV;12;Finished Airing;Apr 9, 2021 to Jun 25, 2021;Spring 2021;Fridays at 00:55 (JST);['Aniplex', 'Dentsu', 'Animax', 'Movic', 'Fuji TV', 'BS Fuji', 'Aeon Entertainment'];None found, add some;Zexcs;Original;Sports;;;22 min. per ep.;PG-13 - Teens 13 or older;7.53;#1621;#1925;96,836;874;;['Crunchyroll', 'Ani-One Asia'];Shoutarou Futaba has always loved sports, but he never became more than a benchwarmer on his middle school baseball team. After noticing a group of gymnasts practicing in the park, he decides to watch a rhythmic gymnastics tournament on a whim. Although displaying an exhilarating performance at the competition, the Shoushukan High School's Rhythmic Gymnastics Club places second-to-last due to penalties acquired from not fielding a full six-man roster.  The demonstration of skill captivates Shoutarou, and he decides to enroll at Shoushukan in hopes of joining the team despite having no background in the sport. The club recruits him alongside Ryouya Misato, a prodigal gymnast who was the runner-up in a junior tournament.  Now with a full six-man roster, the team sets out to compete in the upcoming Inter-High tournament. As he strives to accomplish this ambitious endeavor, Shoutarou must learn and master the basics of rhythmic gymnastics all while working in tandem with his new teammates if Shoushukan wants to stand a chance at claiming the title.  [Written by MAL Rewrite];Performing Arts
70;Shakunetsu Kabaddi;https://myanimelist.net/anime/42395/Shakunetsu_Kabaddi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;灼熱カバディ;TV;12;Finished Airing;Apr 3, 2021 to Jun 19, 2021;Spring 2021;Saturdays at 01:23 (JST);['TV Tokyo'];None found, add some;TMS Entertainment;Web manga;;['School', 'Team Sports'];;23 min. per ep.;PG-13 - Teens 13 or older;7.04;#3896;#1939;95,584;732;['Comedy', 'Sports'];['Crunchyroll', 'Ani-One Asia', '', ''];Tatsuya Yoigoshi, a once nationally recognized soccer player, is now a first-year student at Noukin High School. Due to his developed hatred for sports, he has abandoned his previous aspirations to become a famous livestreamer on the internet. One day, Souma Azemichi, a first-year on the kabaddi team, seeks to recruit Yoigoshi and spontaneously interrupts his livestream.  Without any expectations, Yoigoshi follows Souma to the school gym, where he witnesses second-years Kyouhei Misumi and Shinji Date engaged in the primal contact sport of kabaddi. Despite ridiculing the rules of play, Yoigoshi is stunned by the intensity of the round. Because of an enticing deal and slight coercion, he agrees to settle the prospect of his recruitment through the most invigorating way: a battle of kabbadi, a team sport played empty-handed.  [Written by MAL Rewrite];
71;Haikyuu!! Movie 1: Owari to Hajimari;https://myanimelist.net/anime/29755/Haikyuu_Movie_1__Owari_to_Hajimari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;High Kyuu!! Movie 1, Haikyuu!! Recap;ハイキュー!! 終わりと始まり;Movie;1;Finished Airing;Jul 3, 2015;;;['TOHO animation'];None found, add some;Production I.G;Manga;Sports;['School', 'Team Sports'];Shounen;1 hr. 29 min.;PG-13 - Teens 13 or older;7.99;#599;#1996;91,435;108;;['Netflix'];"After watching a volleyball match on TV where the ""Little Giant"" of Karasuno High School helps his team secure a hard-fought victory, young and impressionable Shouyou Hinata begins to play the sport in hopes that he too can soar high one day. Now enrolled at the same school as his idol, he attempts to join the volleyball team despite his short stature. Unfortunately, upon his arrival, Hinata locks eyes with ""King of the Court"" Tobio Kageyama—a genius setter whom he had once suffered a bitter defeat to in middle school.  Their unfriendly introduction and subsequent rivalry forces the rest of the Karasuno team to bar both of them from joining the club until they can learn to work together as teammates. Though reluctant to cooperate, their desire to play volleyball causes them to return with a proposal that will show the other members that they are capable of teamwork. As the two freshmen form an odd setter-and-ace relationship, an old rival school invites Karasuno for practice matches, reigniting competition between the two schools once more.  [Written by MAL Rewrite]";
72;Yuri!!! on Ice The Movie: Ice Adolescence;https://myanimelist.net/anime/35500/Yuri_on_Ice_The_Movie__Ice_Adolescence;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ユーリ!!! on ICE 劇場版 : ICE ADOLESCENCE（アイス アドレセンス）;Movie;1;Not yet aired;Not available;;;['None found', 'add some'];None found, add some;MAPPA;Original;Sports;;;Unknown;None;N/A;N/A;#2024;89,585;296;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;Performing Arts
73;High☆Speed! Movie: Free! Starting Days;https://myanimelist.net/anime/30415/High%E2%98%86Speed_Movie__Free_Starting_Days;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Free! Movie, High☆Speed!: Free! Starting Days;映画 ハイ☆スピード！ -Free! Starting Days-;Movie;1;Finished Airing;Dec 5, 2015;;;['Shochiku', 'Asahi Broadcasting', 'I Will'];Funimation;Kyoto Animation;Light novel;;;;1 hr. 50 min.;PG-13 - Teens 13 or older;7.87;#777;#2037;88,626;274;['Drama', 'Sports'];['Netflix'];Haruka Nanase and Makoto Tachibana have started middle school and must adjust to the changes that come along with growing up. While Makoto fits in with his classmates and remains positive about swimming, Haruka struggles to befriend others or join his school's swim club, as his previous issues with swimming trouble him. Distancing himself from his lively classmates and the swimming club, he has difficulty deciding which club to join instead. The rest of his classmates, including Makoto, are also hesitant as to which clubs to participate in. After an argument leads them to join the swimming club anyway, the boys strive to hone their skills, harmonize their swimming styles, and refine their conflicting feelings toward swimming and each other.  As determination and talent run high, Haruka and Makoto—along with their classmates—discover themselves and improve their talents during their starting days.  [Written by MAL Rewrite];School
74;Iwa Kakeru! Sport Climbing Girls;https://myanimelist.net/anime/41783/Iwa_Kakeru_Sport_Climbing_Girls;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Hang On! Climbing Girls;いわかける！ -Sport Climbing Girls-;TV;12;Finished Airing;Oct 4, 2020 to Dec 20, 2020;Fall 2020;Sundays at 02:00 (JST);['Lantis', 'AT-X', 'Magic Capsule', 'KlockWorx', 'Nagoya Broadcasting Network', 'ABC Animation', 'Cygames', 'Bandai Namco Arts', 'Happinet', 'NetEase', 'Heart Company'];None found, add some;Blade;Web manga;Sports;;;23 min. per ep.;PG-13 - Teens 13 or older;6.48;#6760;#2045;88,345;179;;['Crunchyroll', 'Netflix'];"Video games, especially puzzle games, were always at the center of Konomi Kasahara's life. However, upon entering Hanamiya High School, she decides to break away from this lifestyle. As Konomi wanders the halls in search of a new activity to engage herself in, she stumbles upon a gigantic wall owned by the school's rock climbing team. Fascinated, she attempts to scale the wall, discovering that she can use her puzzle-solving skills to help her reach the top.  Certain that she has found her calling, Konomi immediately joins the club. As she strives to improve her climbing skills, Konomi, alongside the rest of the Hanamiya Climbing Team, will learn what it truly means to be a ""sports climber"" and work to achieve victory in the upcoming competitions.  [Written by MAL Rewrite]";School
75;Baby Steps 2nd Season;https://myanimelist.net/anime/27663/Baby_Steps_2nd_Season;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Baby Steps Second Season;ベイビーステップ 第2シリーズ;TV;25;Finished Airing;Apr 5, 2015 to Sep 20, 2015;Spring 2015;Sundays at 17:30 (JST);['NHK'];None found, add some;Pierrot;Manga;Sports;;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.02;#559;#2055;87,860;302;;['Crunchyroll'];After having decided to play tennis at the professional level, Eiichirou Maruo now needs to convince his parents to support his decision. To do so, he makes a wager: if he cannot win the All-Japan Junior Tennis Tournament, he will give up on his dream. However, he will need to improve his skills quickly if he wants to qualify for the tournament and have any chance of defeating the best players in the country. For this reason, his new coach Ryuuhei Aoi suggests that Eiichirou travel abroad to train at the Florida Tennis Academy.  Baby Steps 2nd Season takes the action to America as Eiichirou begins his two-week training program, getting a taste of what tennis is like outside of Japan. With this exciting experience awaiting him, Eiichirou hopes that his training will get him closer to his goal of becoming a professional player.  [Written by MAL Rewrite];School
76;"Haikyuu!! vs. ""Akaten""";https://myanimelist.net/anime/35806/Haikyuu_vs_Akaten;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Haikyuu!! Jump Festa 2015 Special, Haikyuu!! OVA, Haikyuu!! vs. Failing Grade;"ハイキュー!! VS""赤点""";OVA;1;Finished Airing;May 2, 2016;;;['None found', 'add some'];None found, add some;Production I.G;Manga;Sports;['School', 'Team Sports'];Shounen;24 min.;PG-13 - Teens 13 or older;7.77;#983;#2062;87,027;79;;[];Right before the volleyball club's training camp in Tokyo, both Shouyou Hinata and Tobio Kageyama fail a final exam. As the make-up exams and the trip overlap, the boys plead their desperate case to the vice principal to no avail. Since their indispensable teammates are forced to stay behind to study, the club's members find different ways to help them pass and join the camp in time.  [Written by MAL Rewrite];
77;Bamboo Blade;https://myanimelist.net/anime/2986/Bamboo_Blade;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;バンブーブレード;TV;26;Finished Airing;Oct 2, 2007 to Apr 1, 2008;Fall 2007;Tuesdays at 01:30 (JST);['AIC', 'Square Enix', 'd-rights', 'Studio Tulip', 'KlockWorx', 'flying DOG'];Funimation;AIC ASTA;Manga;;['Combat Sports', 'School'];Seinen;24 min. per ep.;PG-13 - Teens 13 or older;7.31;#2512;#2066;86,556;283;['Comedy', 'Sports'];['Crunchyroll', 'Funimation'];Kojirou is the kendo instructor for Muroe High School and he's totally broke. But then an unexpected chance is given to him: his team must win against his senpai's team and the prize is: free meals for a whole year! Now, the only problem left... where to find girls skilled enough and willing to join the kendo team?;
78;Metal Fight Beyblade;https://myanimelist.net/anime/5962/Metal_Fight_Beyblade;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;メタルファイト ベイブレード;TV;51;Finished Airing;Apr 5, 2009 to Mar 28, 2010;Spring 2009;Sundays at 08:30 (JST);['TV Tokyo', 'd-rights'];Nelvana;Tatsunoko Production;Manga;;;Kids;25 min. per ep.;PG - Children;6.85;#4739;#2075;85,940;383;['Adventure', 'Comedy', 'Sports'];['Crunchyroll'];"A new cast of characters take on the continued battle between good and evil. Ginga, our hero, and his group of loyal friends take on a dangerous group called the Dark Nebula. The Dark Nebula’s sole mission is to take over the world and unleash their evil upon it; but before they can do so, they must destroy Ginga as he is the only person that’s strong enough to stand in their way. The plot thickens as friends become enemies and enemies become allies. Everything starts and ends with Ginga as he struggles to find the strength to defend his world and the honor of Beyblade.  (Source: Beyblade.com)";
79;Haikyuu!! Movie 2: Shousha to Haisha;https://myanimelist.net/anime/30364/Haikyuu_Movie_2__Shousha_to_Haisha;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;High Kyuu!! Movie 2, Haikyuu!! Recap 2;ハイキュー!! 勝者と敗者;Movie;1;Finished Airing;Sep 18, 2015;;;['None found', 'add some'];None found, add some;Production I.G;Manga;Sports;['School', 'Team Sports'];Shounen;1 hr. 28 min.;PG-13 - Teens 13 or older;8.03;#545;#2104;83,647;87;;['Netflix'];"The Inter-High has finally arrived for Karasuno High School's volleyball team. Their opponent at the tournament is Date Tech High School—the team that crushed Karasuno the year prior. The loss brings back anxiety and fear for the team's second- and third-years as they were unable to overcome Date's ""read block."" With the dynamic freshmen duo Shouyou Hinata and Tobio Kageyama on their side, will Karasuno be able to overcome their past and break through the iron wall?  Awaiting Karasuno in the next round is the elite Aoba Jousai High School, led by the cunning captain Tooru Oikawa. Coming from the same middle school as Kageyama, Oikawa is a talented and unpredictable setter with a grudge against his former teammate. It is a battle between genius setters to decide who will continue on in the Inter-High.  [Written by MAL Rewrite]";
80;Ashita no Joe;https://myanimelist.net/anime/2402/Ashita_no_Joe;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Rocky Joe, Champion Joe;あしたのジョー;TV;79;Finished Airing;Apr 1, 1970 to Sep 29, 1971;Spring 1970;Wednesdays at 19:00 (JST);['Fuji TV'];None found, add some;Mushi Production;Manga;;;Shounen;25 min. per ep.;PG-13 - Teens 13 or older;8.29;#247;#2110;83,088;1,812;['Drama', 'Sports'];[];"Joe Yabuki is a troubled youth, whose only solution to problems is throwing punches at them. What he lacks in manners and discipline, he makes up for with his self-taught fighting skills.  One day, while wandering the slums of Doya, Joe gets into a fight with the local gang. Although greatly outnumbered, he effortlessly defeats them, drawing the attention of Danpei Tange—a former boxing coach turned alcoholic. Seeing his potential, he offers to train Joe into Japan's greatest boxer. At first, Joe dismisses Danpei as a hopeless drunk; but after the trainer saves his life, he agrees to live with him and learn the art of boxing. Unfortunately, Joe's personality makes him an unruly student, and he often falls back to his old ways.  To survive the harsh world of his new career, Joe needs to trust his mentor and master the techniques taught to him. However, the road to becoming a professional boxer is rife with struggles that will test his mettle to the end.  [Written by MAL Rewrite]";Combat Sports
81;Diamond no Ace: Act II;https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Daiya no Ace: Act II;ダイヤのA[エース] actII;TV;52;Finished Airing;Apr 2, 2019 to Mar 31, 2020;Spring 2019;Tuesdays at 17:55 (JST);['TV Tokyo', 'Sotsu', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production'];None found, add some;Madhouse;Manga;Sports;['School', 'Team Sports'];Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.26;#282;#2116;82,657;916;;['Crunchyroll', 'Netflix'];"The hallowed ground of Koshien Stadium is the ""field of dreams,"" where the ambitions of high school baseball players come true. After emerging victorious in the autumn tournament last year, Seidou High School baseball's team has finally earned the right to compete there for the first time in seven years. Beyond the spring tournament looms the battle to decide who is the best team in the nation — the Summer Koshien.  With the third-year players due to retire after the summer tournament, the team has to integrate the experience of the seniors and the potential of the newcomers to overcome familiar and new opponents alike and win the coveted national title.  Meanwhile, pitcher Eijun Sawamura is as determined as ever to earn jersey No. 1 and seize the position of ""ace"" from his persistent rival, Satoru Furuya. As the team prepares for their greatest challenge yet, Sawamura and Furuya carry on their struggle to lead their team to glory and become the star of the game: the true ""Ace of the Diamond.""  [Written by MAL Rewrite]";
82;Captain Tsubasa;https://myanimelist.net/anime/2116/Captain_Tsubasa;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Flash Kicker;キャプテン翼;TV;128;Finished Airing;Oct 13, 1983 to Mar 27, 1986;Fall 1983;Unknown;['TV Tokyo', 'Studio Jack', 'CBS'];None found, add some;Tsuchida Productions;Manga;Sports;;Shounen;24 min. per ep.;G - All Ages;7.33;#2419;#2127;81,794;533;;['Crunchyroll'];Captain Tsubasa is the passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing soccer at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession.  In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd.  He encounters not only rivals, but also new friends like the pretty girl Sanae Nakazawa and the talented goalkeeper, Genzo Wakabayashi, who shares the same passion as Tsubasa, and will prove to be a treasured friend in helping him push towards his dreams. Representing Japan in the FIFA World Cup is Tsubasa’s ultimate dream, but it will take a lot more than talent to reach it.;Team Sports
