;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme
42;Hyakka Ryouran: Samurai Girls;https://myanimelist.net/anime/8277/Hyakka_Ryouran__Samurai_Girls;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;百花繚乱 サムライガールズ;TV;12;Finished Airing;Sep 4, 2010 to Dec 20, 2010;Fall 2010;Unknown;['Genco', 'Lantis', 'Media Factory', 'Movic', 'Hobby Japan', 'Showgate', 'Gigno Systems'];Sentai Filmworks;Arms;Light novel;['Action', 'Comedy', 'Ecchi'];['Harem', 'Samurai', 'School'];;24 min. per ep.;R+ - Mild Nudity;6.77;#5157;#1219;175,247;286;['HIDIVE'];With its gorgeous landscape and prosperous people, Great Japan is the envy of all other nations. But a serious threat hovers over the country. Mysterious guardians known as Master Samurai are Great Japan's only defense.  At the behest of the student council, young samurai Muneakira Yagyuu arrives at Buou Academic School. Run by the Tokugawa Shogunate, here children of warriors are given aristocratic education required to run the country. The school is led by the student council president Yoshihiko Tokugawa and his sister Sen, who also happens to be Muneakira's childhood friend.  Upon arriving at the academy, Muneakira finds himself in the midst of a terrible fight. During the chaos, the sky fills with a peculiar white light and a mysterious girl named Juubei Yagyuu appears and suddenly kisses Muneakira. With his kiss, she awakens an unknown power that protects them.  Just who is this girl, and where did she come from? Muneakira finds himself entangled in the fate of the country and a threat that will shake Great Japan to its core. He must learn the secret behind the Master Samurai and the kiss that awakened Juubei's power in order to protect his country.  [Written by MAL Rewrite];Hyakka Ryouran: Samurai Girls;;
43;Megami-ryou no Ryoubo-kun.;https://myanimelist.net/anime/41812/Megami-ryou_no_Ryoubo-kun;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;女神寮の寮母くん。;TV;10;Finished Airing;Jul 14, 2021 to Sep 15, 2021;Summer 2021;Wednesdays at 23:30 (JST);['Media Factory', 'AT-X', 'Kadokawa Media House', 'Kadokawa'];Sentai Filmworks;asread.;Manga;['Comedy', 'Romance', 'Ecchi'];;Shounen;25 min. per ep.;R+ - Mild Nudity;6.52;#6520;#1236;173,421;1,207;['Crunchyroll', 'HIDIVE', '', '', '', '', '', ''];"Twelve-year-old Koushi Nagumo's life suddenly goes downhill when his father abandons him after their house burns down. Left to fend for himself, Koushi collapses on the street, but an eccentric woman named Mineru Wachi takes pity on him and brings him to the female dormitory ""Megami-ryou.""  After learning of Koushi's situation, Mineru, who happens to be the temporary manager, invites him to become Megami-ryou's official dormitory mother. However, what awaits him are the dorm's residents—each with their own wacky shenanigans—like the androphobic yet gentle Atena Saotome, the feminine tomboy Kiriya Senshou, and Mineru herself, whose recklessness knows no bounds when it comes to science. Despite this, Koushi does his best to fulfill the duties of this crazy new life!  [Written by MAL Rewrite]";;Harem;
44;C³;https://myanimelist.net/anime/10578/C%C2%B3;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;シーキューブ;TV;12;Finished Airing;Oct 1, 2011 to Dec 17, 2011;Fall 2011;Unknown;['Starchild Records'];Funimation;SILVER LINK.;Light novel;['Action', 'Comedy', 'Supernatural', 'Ecchi'];;;24 min. per ep.;R - 17+ (violence & profanity);6.59;#6107;#1244;172,125;258;['Crunchyroll', 'Funimation'];From the light novel series written by Minase Hazuki, comes a story of love, action, and comedy. Yachi Haruaki is a high school boy who is naturally resistant to curses. After his father sends him a mysterious black cube, Haruaki awakes to find a nude girl named Fear standing in his kitchen. She’s the human form of the cursed black cube – and an instrument of torture! Utilizing her special abilities, Fear fights alongside Haruaki to defeat other cursed instruments and their owners.  (Source: FUNimation);C3, C Cube, C^3;School;
45;To LOVE-Ru OVA;https://myanimelist.net/anime/5667/To_LOVE-Ru_OVA;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;To LOVEる -とらぶる-;OVA;6;Finished Airing;Apr 3, 2009 to Apr 2, 2010;;;['Shueisha'];None found, add some;Xebec;Manga;['Comedy', 'Sci-Fi', 'Ecchi'];['Harem', 'School'];Shounen;25 min. per ep.;R+ - Mild Nudity;7.26;#2795;#1257;170,405;281;[];Episode 01: Rito becomes a Woman Lala invents a gizmo to make her bust bigger. However, this invention of hers accidentally turns Rito into a woman.  Episode 02: Rito and Mikan Feeling lonely because Rito is always spending time with Lala, Mikan storms out of the house. While Rito and Lala are out looking for her a few flashbacks from the past, showing Rito and Mikan as kids, are shown.  Episode 03: Welcome to the Southern Resort!! Haruna wins an island resort trip for ten females. Rito gets turned into a dog by one of Lala's inventions and somehow ends up on the island as well.  Episode 04: Trouble Quest Rito and the girls become trapped inside an RPG game where the objective is to save Lala and defeat the evil witch Kyouko.  Episode 05: Nana and Momo Lala's sisters cause mischief for Rito and his harem at a cherry blossom viewing.  Episode 06: Draft, Metamorphose, Hand & Tail Yami and Yui confront with a senior, causing Yui to lose her panties.  Mikan finds Peke taking snapshots of new clothing while shopping. Suddenly, a stranger steals her bag.  As Rito tries to explore Lala's cleaned-up bedroom, he accidentally activates one of Lala's invention, fusing his hand to Lala's tail.;To-LOVE-Ru OVA, Trouble OVA, To Love You OVA;;
46;Hoshizora e Kakaru Hashi;https://myanimelist.net/anime/10079/Hoshizora_e_Kakaru_Hashi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;星空へ架かる橋;TV;12;Finished Airing;Apr 11, 2011 to Jun 27, 2011;Spring 2011;Mondays at 09:00 (JST);['Dentsu', 'Sotsu', 'Marvelous', 'Pony Canyon', 'feng', 'PRA', 'Jumondo'];None found, add some;Doga Kobo;Visual novel;['Comedy', 'Romance', 'Ecchi'];['Harem', 'School'];;25 min. per ep.;PG-13 - Teens 13 or older;6.70;#5542;#1259;170,096;338;[];Kazuma Hoshino is preparing himself for a new stage of his life as a teenager. Because of his brother Ayumu's weaker than average health, their parents thought it best for the family to move out from the city to a more rural environment. Now the two brothers are off to the Yorozuyo Inn where they’ll be staying until their parents can settle affairs back in the city and set up their new home.  Their arrival to the inn doesn't go as planned though when they catch the wrong bus, wind up in the middle of nowhere, Ayumu gets his hat stolen by a wild monkey, and Kazuma gets lost in the woods trying to track the animal down. It all leads to a chance encounter with a spirited young girl named Ui, who Kazuma ends up accidentally falling onto and kissing while she tries leading him back to the bus stop. This hardly sits well with Ui’s friend Ibuki who swiftly kicks Kazuma and sends him on his way. Much to Kazuma's continued horror, his bad luck is perpetuated at the inn thanks to its landlady Senka and her slightly perverted sense of humor, and then finding out that two of his classmates are the girls he embarrassed himself in front of back in the woods!  Hoshizora e Kakaru Hashi finds Kazuma adapting to his new school, dealing with the multiple women who have entered his life, providing emotional support for his younger brother, and coping with living with his new landlady. However, for some reason, something about this place is bringing whispers of the past into Kazuma's mind. Small flashes back to a more innocent time and a friendship long forgotten. What could this déjà vu mean?;Hoshizora e Kakaru Hashi;;
47;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA;https://myanimelist.net/anime/32801/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_OVA;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ダンジョンに出会いを求めるのは間違っているだろうか OVA「ダンジョンに温泉を求めるのは 間違っているだろうか」;OVA;1;Finished Airing;Dec 7, 2016;;;['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'MAGES.', 'Hakuhodo DY Music & Pictures', 'FuRyu'];Sentai Filmworks;J.C.Staff;Light novel;['Adventure', 'Comedy', 'Fantasy', 'Ecchi'];;;24 min.;PG-13 - Teens 13 or older;7.05;#3827;#1273;167,489;135;['HIDIVE'];On their way back from the 18th floor, Hestia, Bell, and the others accidentally uncover a hidden, mystical hot spring, and they decide to stop by to refresh themselves until creatures lurking in the dark appear to attack them.;DanMachi OVA, Is It Wrong to Try to Pick Up Girls in a Dungeon? OVA, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka: Dungeon ni Onsen wo Motomeru no wa Machigatteiru Darou ka;;
48;Trinity Seven Movie 1: Eternity Library to Alchemic Girl;https://myanimelist.net/anime/33581/Trinity_Seven_Movie_1__Eternity_Library_to_Alchemic_Girl;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;劇場版 トリニティセブン －悠久図書館〈エターニティライブラリー〉と錬金術少女〈アルケミックガール〉－;Movie;1;Finished Airing;Feb 25, 2017;;;['Sotsu', 'Avex Pictures'];None found, add some;Seven Arcs Pictures;Manga;['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi'];['Harem', 'School'];Shounen;55 min.;PG-13 - Teens 13 or older;7.25;#2838;#1277;167,207;249;['Crunchyroll'];"The film's story begins when Arata inadvertently touches ""Hermes Apocrypha,"" Lilith's Grimoire. Suddenly, he is enveloped by a bright white light, and a girl appears before him. She calls herself Lilim, and treats both Arata and Lilith as her parents. At the same time she appears, something changes in the world. The forbidden Eternal Library awakens. In the Library is sealed the ultimate culmination of Alchemy, the White Demon Lord. The White Demon Lord plots to eliminate Arata and the Trinity Seven to usurp the position of Demon Lord. Bristling with untold power, the White Demon Lord attacks Arata, and triggers a desperate crisis where Arata and the Trinity Seven must save the world in this last battle.  (Source: ANN)";Gekijouban Trinity Seven, Trinity Seven Movie: Yuukyuu Toshokan to Rekinjutsu Shoujo;;
49;Strike Witches;https://myanimelist.net/anime/3667/Strike_Witches;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ストライクウィッチーズ;TV;12;Finished Airing;Jul 4, 2008 to Sep 19, 2008;Summer 2008;Fridays at 01:20 (JST);['GDH', 'Kadokawa Shoten', 'KlockWorx', 'NTT Docomo'];Funimation;Gonzo;Original;['Action', 'Sci-Fi', 'Ecchi'];;;24 min. per ep.;R+ - Mild Nudity;6.96;#4257;#1286;165,154;1,048;['Funimation'];"In the year 1939, humanity was on the verge of destruction. Equipped with weapons of devastating power, a mysterious alien race, known as the Neuroi, began an invasion of the Earth, ravaging the planet, obliterating countries, and vanquishing human armies. To counter this seemingly unstoppable force, the world's powers united. A new device was produced, called the Striker Unit, capable of facing Neuroi technology. Girls equipped with the Striker Unit became known as the Witches, forming humanity's last line of defense. They began their fight against the Neuroi, utilizing their now-enhanced magical abilities, flaunting destructive weapons no human could manage.  Fast forward to 1944—Yoshika Miyafuji is a young teenage girl who eventually decides to join the 501st Joint Fighter Wing, known as the ""Strike Witches."" With no formal training however, can Miyafuji learn to cooperate with her fellow Strike Witches? And if so, can she save humanity from the Neuroi onslaught?  [Written by MAL Rewrite]";;Military;
50;Saikin, Imouto no Yousu ga Chotto Okashiinda ga.;https://myanimelist.net/anime/17777/Saikin_Imouto_no_Yousu_ga_Chotto_Okashiinda_ga;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;最近、妹のようすがちょっとおかしいんだが。;TV;12;Finished Airing;Jan 4, 2014 to Mar 23, 2014;Winter 2014;Unknown;['Lantis', 'Magic Capsule'];Discotek Media, Crunchyroll;Project No.9;Manga;['Comedy', 'Romance', 'Supernatural', 'Ecchi'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;6.21;#8344;#1292;164,317;188;[];Saikin, Imouto no Yousu ga Chotto Okashiinda ga. follows a family just starting to rebuild. When they marry, Mr. and Mrs. Kanzaki bring a teenage son and daughter along for the ride. But high school freshman Mitsuki Kanzaki is less than thrilled. Stinging from a history of absent and abusive father figures, she is slow to accept her stepfather and stepbrother.  But after an accident lands Mitsuki in the hospital, she finds herself possessed by the ghost of Hiyori Kotobuki, a girl her age who was deeply in love with Mitsuki's stepbrother Yuuya. Hiyori cannot pass on to her final reward because of her unrequited love for Yuuya, meaning she's got to consummate it... in Mitsuki's body?!  Now, Mitsuki's life depends on getting Hiyori to Heaven. But will she get used to sharing herself with a pushy, amorous ghost? Can she overcome her distrust of her new family? Can she bring herself to fulfill Hiyori's feelings for Yuuya? And might she be hiding some feelings of her own?;Recently, My Little Sister is Unusual, ImoCho, ImoCyo;;
51;Fairy Tail OVA;https://myanimelist.net/anime/9982/Fairy_Tail_OVA;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;フェアリーテイル OVA;OVA;5;Finished Airing;Apr 15, 2011 to Jun 17, 2013;;;['None found', 'add some'];None found, add some;Satelight, A-1 Pictures;Manga;['Comedy', 'Fantasy', 'Ecchi'];;Shounen;27 min. per ep.;PG-13 - Teens 13 or older;7.47;#1817;#1311;162,075;441;[];When the members of Fairy Tail aren't destroying towns or defeating powerful foes, they're attending school, travelling back in time, visiting water parks, and taking on odd jobs from strange clients. No matter where they go, a fun adventure always awaits, sometimes in the most unexpected form!  [Written by MAL Rewrite];Fairy Tail: Youkoso Fairy Hills!, Yousei Gakuen: Yankee-kun to Yankee-chan;;
52;Okusama ga Seitokaichou!+!;https://myanimelist.net/anime/32603/Okusama_ga_Seitokaichou_;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;おくさまが生徒会長!＋!;TV;12;Finished Airing;Oct 2, 2016 to Dec 18, 2016;Fall 2016;Sundays at 22:30 (JST);['DAX Production', 'Dream Creation', 'Studio CHANT'];None found, add some;Seven;Manga;['Comedy', 'Romance', 'Ecchi'];;Shounen;8 min. per ep.;R+ - Mild Nudity;6.59;#6083;#1318;161,085;120;[];The story begins with Izumi Hayato running to be student council president. But when a beautiful girl swings in promising the liberalization of love while flinging condoms into the audience, he ends up losing to her and becoming the vice president. At the student council meeting, the newly-elected president invites herself over to Izumi's house, where she promptly announces she is to become Izumi's wife thanks to an agreement—facilitated by alcohol—made between their parents when they were only 3.  (Source: MAL Scanlations);My Wife is the Student Council President 2nd Season, Oku-sama ga Seito Kaichou! 2nd Season, Okusama ga Seitokaichou! Plus;School;
53;Midori no Hibi;https://myanimelist.net/anime/330/Midori_no_Hibi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;美鳥の日々;TV;13;Finished Airing;Apr 4, 2004 to Jun 27, 2004;Spring 2004;Unknown;['Bandai Visual', 'Lantis'];Media Blasters, NYAV Post;Pierrot;Manga;['Comedy', 'Drama', 'Romance', 'Ecchi'];;Shounen;24 min. per ep.;R+ - Mild Nudity;7.23;#2941;#1321;160,932;626;[];"There isn't a single person in Sakuradamon High who hasn't heard the legends about Seiji ""The Mad Dog"" Sawamura's demonically powerful right hand. His reputation makes it fairly difficult for him to approach girls, and after being rejected 20 times straight, he half-jokingly vows to finish high school with his right hand for a girlfriend.  Much to his surprise, after waking up the next morning, Seiji discovers that his demon right hand has mysteriously turned into a miniature girl, Midori Kasugano, who reveals that she has had a crush on Seiji for the past three years. Because their situation is not ideal for either of them, Seiji attempts to return Midori to normal. But after causing a big misunderstanding at the Kasugano household, the pair decide to keep their predicament between them until a solution is found. Thus begins an odd relationship, and what could be the only chance for Midori to finally be with the one she loves.  [Written by MAL Rewrite]";My Days With Midori;;
54;Freezing Vibration;https://myanimelist.net/anime/18001/Freezing_Vibration;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;フリージング ヴァイブレーション;TV;12;Finished Airing;Oct 4, 2013 to Dec 20, 2013;Fall 2013;Fridays at 21:30 (JST);['Media Factory', 'Eswood', 'Kill Time Communication'];Funimation;A.C.G.T.;Manga;['Action', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi'];;Seinen;23 min. per ep.;R+ - Mild Nudity;6.73;#5372;#1323;160,797;196;[];Ever since the 10th NOVA clash, the Chevalier had concluded that the NOVA have been appearing at a steadier rate and they are losing more Pandoras than they can produce. Their solution is the E-Pandora Project which involves normal humans being given the power to become Pandoras. Inviting Pandora from around the world to their Alaskan base witness the unveiling of their new project, Satellizer, Kazuya and Rana are among those who have been summoned. However, as time goes the E-Pandora Project starts to become fishier and the Pandoras start to grow more and more concerned...;Freezing Season 2;Military;
55;Ikkitousen;https://myanimelist.net/anime/257/Ikkitousen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;一騎当千;TV;13;Finished Airing;Jul 30, 2003 to Oct 22, 2003;Summer 2003;Wednesdays at 11:30 (JST);['Genco', 'Cosmic Ray', 'Eye Move', 'Bushiroad'];Funimation, Geneon Entertainment USA;J.C.Staff;Manga;;['Martial Arts', 'School', 'Super Power'];;24 min. per ep.;R+ - Mild Nudity;6.39;#7290;#1346;156,638;410;['Funimation'];"In the Kanto region, seven high schools fight to the death for absolute power. Each fighter is the reincarnation of a glorious warrior from the Three Kingdoms period, placing them in a perilous endeavor to overcome their often cruel destinies. Among them is the airheaded Hakufu Sonsaku, a student at Nanyou Academy who—despite possessing brilliant martial art abilities—is deemed to be killed at a young age by the ruthless Ukitsu.  However, her fellow classmate Koukin Shuuyu is tasked by Hakufu's mother to protect his cousin from this grim fate. To add to his burden, Hakufu is subject to sudden bursts of anger, where she loses consciousness and unleashes a destructive power that threatens her own life. Together with Nanyou's ""Big Four,"" Hakufu and Shuuyu will have to foil the plans of their main rival schools and uncover the true nature of Hakufu's powers before it is too late.  [Written by MAL Rewrite]";Ikki-Tosen: Legendary Fighter, Battle Vixens;;Ecchi
56;Gantz 2nd Stage;https://myanimelist.net/anime/395/Gantz_2nd_Stage;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ガンツ;TV;13;Finished Airing;Aug 26, 2004 to Nov 18, 2004;Summer 2004;Unknown;['Fuji TV'];ADV Films, Funimation;Gonzo;Manga;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural', 'Ecchi'];['Gore', 'Psychological', 'Survival'];Seinen;23 min. per ep.;R+ - Mild Nudity;7.04;#3911;#1350;156,280;439;[];Despite having seemingly returned to their normal lives, Kei Kurono, Masaru Katou, and Kei Kishimoto are forced back into the lethal game after Gantz's recent activity. The black sphere continues to summon recently deceased people to fight alien invaders. And having survived the two previous encounters, the trio are more than prepared for the upcoming missions.  As they progress through the tournament's stages, the three proceed in their attempt to earn 100 points, which is said to be the only way to leave the parallel dimension for good. However, with the constant onslaught of alien invaders and the threat of imminent death, they must first focus on the task at hand—immediate survival.  [Written by MAL Rewrite];Gantz *uncut*, Gantz - Second Stage, Gantz 2nd stage;;
57;Triage X;https://myanimelist.net/anime/26443/Triage_X;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;トリアージX;TV;10;Finished Airing;Apr 9, 2015 to Jun 11, 2015;Spring 2015;Thursdays at 01:05 (JST);['DAX Production', 'Nippon Columbia'];Sentai Filmworks;Xebec;Manga;['Action', 'Adventure', 'Ecchi'];;Shounen;23 min. per ep.;R+ - Mild Nudity;6.32;#7726;#1356;155,268;277;['Crunchyroll', 'HIDIVE'];In a deadly terrorist attack, Arashi Mikami narrowly escapes death but loses everything in the process, including his family and best friend. However, the surgeon that rescues him is far from just an ordinary doctor—he commands a strike team known as Black Label whose task is to exterminate deadly criminals who have fallen too far. Filled with a new determination, Arashi joins the ranks of the vigilante organization.  Black Label's targets are aplenty, as evil scum lurks everywhere—dangerous arms dealers, corrupt politicians, and shady gangsters all find themselves hunted by the extermination team. Although haunted by their dark and sinister past, all of the hunters are highly skilled at slaying their targets. In spite of the perilous lives the members live, Arashi and the gorgeous ladies surrounding him still manage to get caught up in a variety of sultry moments and racy hijinks. Though they face strong opposition, nothing can stop Black Label's objective of cleansing the world of ghastly evil.  [Written by MAL Rewrite];;;
58;Shokugeki no Souma: Ni no Sara OVA;https://myanimelist.net/anime/34480/Shokugeki_no_Souma__Ni_no_Sara_OVA;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;食戟のソーマ 弍ノ皿;OVA;2;Finished Airing;May 1, 2017 to Jul 4, 2017;;;['Warner Bros. Japan', 'Shueisha'];None found, add some;J.C.Staff;Manga;['Gourmet', 'Ecchi'];;Shounen;25 min. per ep.;PG-13 - Teens 13 or older;7.47;#1841;#1357;155,219;103;[];Having completed their Stagiaire assignments, the residents of Polar Star Dormitory and their friends visit a hot springs inn. Though they planned on relaxing, these young chefs step up to the plate when the inn's entire kitchen staff suffer accidents. Unbeknownst to them, they will not be cooking for any ordinary patrons.  Sometime after this trip, Souma Yukihira's desire for worthy opponents is stoked when he, Megumi Tadokoro, and the other Autumn Election quarter-finalists are invited to the annual Autumn Leaves Viewing event. The eight Tootsuki freshmen have a special opportunity to enjoy tea with the Elite Ten Council—including the Tenth Seat Erina Nakiri, who participates alongside her first-year classmates. Though it is framed as a friendly introduction between nine promising underclassmen and nine prestigious upperclassmen, Director Senzaemon Nakiri sees this meeting for what it is: a first encounter between the current reigning elite and their eventual usurpers.  [Written by MAL Rewrite];Shokugeki no Souma: Ni no Sara - Jump Festa 2016 Special, Shokugeki no Soma: Ni no Sara OVA, Food Wars! The Second Plate OVA, Shokugeki no Souma 2nd Season OVA;School;
59;High School DxD New: Oppai, Tsutsumimasu!;https://myanimelist.net/anime/30300/High_School_DxD_New__Oppai_Tsutsumimasu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ハイスクールD×D NEW OVA おっぱい、包みます！;OVA;1;Finished Airing;Mar 10, 2015;;;['Genco'];None found, add some;TNK;Light novel;['Comedy', 'Romance', 'Ecchi'];['Mythology', 'School'];;24 min.;R+ - Mild Nudity;7.27;#2744;#1365;154,007;281;[];Unaired anime episode bundled with the limited edition of High School DxD DX.1.;High School DxD New OVA, High School DxD New Episode 13;;
60;Sin: Nanatsu no Taizai;https://myanimelist.net/anime/33834/Sin__Nanatsu_no_Taizai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;sin 七つの大罪;TV;12;Finished Airing;Apr 15, 2017 to Jul 29, 2017;Spring 2017;Saturdays at 00:00 (JST);['Genco', 'Lantis', 'AT-X', 'Hobby Japan', 'NBCUniversal Entertainment Japan', 'Kanon Sound', 'Orchid Seed'];Funimation;Artland, TNK;Other;['Fantasy', 'Ecchi'];;;23 min. per ep.;R+ - Mild Nudity;5.75;#10621;#1391;148,798;330;['Funimation'];Lucifer, an Archangel and former head of the Seven Heavenly Virtues, is banished from Heaven after revolting against the Lord's will.. While plummeting from the skies, she is halted halfway between Heaven and Hell after crashing through the roof of a high school church. Though she is witnessed by Maria Totsuka, a soft-spoken student at the academy, Lucifer swiftly continues her descent into the depths of Hell.  Soon after her arrival, Lucifer is found by aspiring Demon Lord and fangirl Leviathan. The two decide to overthrow the Seven Sins, the authorities of Hell under the leadership of Belial. But with their combined powers, the Seven Sins are able to repel Lucifer and contain her divine powers by placing a Garb of Punishment over her body, transforming Lucifer into a Demon Lord.  Longing for revenge and accompanied by Leviathan, Lucifer makes her way back to Earth, where she forces Maria to become her immortal slave. Together with her new accomplices, Lucifer sets out on a mission to subdue the Seven Sins so she may be free of the curse brought upon by her Garb.  [Written by MAL Rewrite];;;
61;Maken-Ki! Two;https://myanimelist.net/anime/15565/Maken-Ki_Two;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;マケン姫っ！通;TV;10;Finished Airing;Jan 16, 2014 to Mar 20, 2014;Winter 2014;Unknown;['None found', 'add some'];Funimation;Xebec;Manga;['Action', 'Ecchi'];['Harem', 'Martial Arts', 'School', 'Super Power'];Shounen;24 min. per ep.;R+ - Mild Nudity;6.14;#8680;#1392;148,350;160;[];Takeru continues his education at Tenbi Academy as part of the newly formed Security Committee. As a team with the other members, they battle unscrupulous individuals who use their Maken for evil purposes. In the meantime, his libido and the conflicting romantic interests of the girls surrounding him complicate matters considerably.  (Source: ANN);Maken-Ki! Dai 2-ki, Maken-Ki! 2, Maken-Ki! Second Season, Maken-Ki! 2nd Season;;
62;Akaneiro ni Somaru Saka;https://myanimelist.net/anime/4744/Akaneiro_ni_Somaru_Saka;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;あかね色に染まる坂;TV;12;Finished Airing;Oct 3, 2008 to Dec 19, 2008;Fall 2008;Unknown;['Marvelous', 'feng', 'Delfi Sound', 'Pony Canyon Enterprise'];Sentai Filmworks;TNK;Visual novel;['Comedy', 'Romance', 'Ecchi'];['Harem', 'School'];;25 min. per ep.;R+ - Mild Nudity;6.40;#7249;#1394;148,123;242;[];"Yuuhi Katagiri is not your average girl – she's the treasured daughter of the Katagiri family. She's generally kept under strict supervision, but one day ends up walking home from school on her own. This proves to be instant trouble when a group of boys start harassing her. Junichi Nagase, who was on his way home from a convenience store, sees the troubled Yuuhi and comes to her rescue. One of the boys recognized Junichi as the famed ""Geno Killer"" and they dash off. Yuuhi thanks Junichi and when she asked for his name, he just waves and leaves. Of course, he regrets trying to act cool in front of the beautiful girl right away, wishing he asked her name.  The following day, a transfer student joins Junichi's class – it's Yuuhi! She calls Junichi out as the ""Geno Killer"", the only name she remembers him by, and rumors about the two spread quickly. Matters are made worse when Junichi kisses Yuuhi due to a misunderstanding. And on top of all that, it turns out that Junichi is Yuuhi's fiancé!  Yuuhi doesn't see Junichi as someone worthy. But, she could not go against her father's wishes. The only thing that Yuuhi can do is live with Junichi in the house he shares with his little sister Minato, and prove that Junichi is not worthy to be her husband. Will she succeed in proving his unworthiness, or will she fall in love on the way?";Akasaka, The Hill Dyed Rose Madder, Akane-Iro ni Somaru Saka;;
63;Prison School: Mad Wax;https://myanimelist.net/anime/32485/Prison_School__Mad_Wax;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;監獄学園[プリズンスクール] マッドワックス;OVA;1;Finished Airing;Mar 4, 2016;;;['None found', 'add some'];None found, add some;J.C.Staff;Manga;['Comedy', 'Romance', 'Ecchi'];['Gag Humor', 'School'];Seinen;25 min.;R+ - Mild Nudity;7.37;#2214;#1418;145,235;107;[];"Hachimitsu Private Academy's five male students have been released from their oppressive prison captors, allowing them to return to their ideal school lives surrounded by short-skirted girls.  With their freedom restored, things could not be going better for the gang. Kiyoshi Fujino and Shingo Wakamoto have formed close bonds with their female classmates; Reiji Andou is the center of attention due to his masochistic quirks; and even Takehito ""Gakuto"" Morokuzu—notorious for defecating himself during class—befriends the klutzy yet like-minded Mitsuko Yokoyama.  However, in contrast to his fellow ex-convicts, Jouji ""Joe"" Nezu struggles to readjust to student life, and the unlikely romantic success of his friend Gakuto pushes him to his wit's end. Feeling ostracized, he begins to wonder if life was better behind bars.  [Written by MAL Rewrite]";Prison School OVA, Kangoku Gakuen OVA;;
